Vorname_Nachname;Nachname;Vorname;Geschlecht;Fraktion
Philipp Murmann;Murmann;Philipp;m;CDU/CSU
Rolf Mützenich;Mützenich;Rolf;m;SPD
Andrea Nahles;Nahles;Andrea;f;SPD
Ingrid Nestle;Nestle;Ingrid;f;BÜNDNIS 90/DIE GRÜNEN
Bernd Neumann;Neumann;Bernd;m;CDU/CSU
Martin Neumann;Neumann;Martin;m;FDP
Wolfgang Nešković;Nešković;Wolfgang;m;fraktionslos
Dirk Niebel;Niebel;Dirk;m;FDP
Dietmar Nietan;Nietan;Dietmar;m;SPD
Manfred Nink;Nink;Manfred;m;SPD
Michaela Noll;Noll;Michaela;f;CDU/CSU
Thomas Nord;Nord;Thomas;m;DIE LINKE
Konstantin von Notz;von Notz;Konstantin;m;BÜNDNIS 90/DIE GRÜNEN
Omid Nouripour;Nouripour;Omid;m;BÜNDNIS 90/DIE GRÜNEN
Georg Nüßlein;Nüßlein;Georg;m;CDU/CSU
Franz Obermeier;Obermeier;Franz;m;CDU/CSU
Thomas Oppermann;Oppermann;Thomas;m;SPD
Holger Ortel;Ortel;Holger;m;SPD
Friedrich Ostendorff;Ostendorff;Friedrich;m;BÜNDNIS 90/DIE GRÜNEN
Eduard Oswald;Oswald;Eduard;m;CDU/CSU
Hermann E. Ott;Ott;Hermann E.;m;BÜNDNIS 90/DIE GRÜNEN
Henning Otte;Otte;Henning;m;CDU/CSU
Hans-Joachim Otto;Otto;Hans-Joachim;m;FDP
Aydan Özoğuz;Özoğuz;Aydan;f;SPD
Petra Pau;Pau;Petra;f;DIE LINKE
Michael Paul;Paul;Michael;m;CDU/CSU
Heinz Paula;Paula;Heinz;m;SPD
Lisa Paus;Paus;Lisa;f;BÜNDNIS 90/DIE GRÜNEN
Rita Pawelski;Pawelski;Rita;f;CDU/CSU
Jens Petermann;Petermann;Jens;m;DIE LINKE
Ulrich Petzold;Petzold;Ulrich;m;CDU/CSU
Joachim Pfeiffer;Pfeiffer;Joachim;m;CDU/CSU
Sibylle Pfeiffer;Pfeiffer;Sibylle;f;CDU/CSU
Johannes Pflug;Pflug;Johannes;m;SPD
Beatrix Philipp;Philipp;Beatrix;f;CDU/CSU
Cornelia Pieper;Pieper;Cornelia;f;FDP
Gisela Piltz;Piltz;Gisela;f;FDP
Richard Pitterle;Pitterle;Richard;m;DIE LINKE
Yvonne Ploetz;Ploetz;Yvonne;f;DIE LINKE
Ronald Pofalla;Pofalla;Ronald;m;CDU/CSU
Christoph Poland;Poland;Christoph;m;CDU/CSU
